rank,name,net_worth_usd,net_worth_usd_7%_growth
141.0,Adarsh Hiremath,2200000000,2354000000
142.0,Sarah MacMillan,2100000000,2247000000
143.0,Jon Winkelried,2100000000,2247000000
144.0,Richard Saghian,2100000000,2247000000
145.0,Alec Gores,2100000000,2247000000
146.0,Walter Wang,2000000000,2140000000.0000002
147.0,Patrick Hanrahan,2000000000,2140000000.0000002
148.0,Tom Werner,2000000000,2140000000.0000002
149.0,Thomas Steyer,2000000000,2140000000.0000002
150.0,Bobby Murphy,2000000000,2140000000.0000002
151.0,Dylan Field,2000000000,2140000000.0000002
152.0,Sam Altman,1900000000,2033000000
153.0,Geoffrey Palmer,1900000000,2033000000
154.0,Evan Williams,1900000000,2033000000
155.0,Riaz Valani,1900000000,2033000000
156.0,Marc Andreessen,1900000000,2033000000
157.0,Kim Kardashian,1800000000,1926000000
158.0,Mark Attanasio,1800000000,1926000000
159.0,Andy Fang,1700000000,1819000000
160.0,Robert Fisher,1700000000,1819000000
161.0,Gary Michelson,1700000000,1819000000
162.0,William Fisher,1700000000,1819000000
163.0,Paul Sciarra,1700000000,1819000000
164.0,Nicholas Pritzker,1600000000,1712000000
165.0,Edward Glazer,1600000000,1712000000
166.0,Bill Gross,1600000000,1712000000
167.0,Art Levinson,1600000000,1712000000
168.0,Kevin Marchetti,1600000000,1712000000
169.0,Jeffrey Gundlach,1600000000,1712000000
170.0,Sue Gross,1600000000,1712000000
171.0,Michael Cagney,1600000000,1712000000
172.0,Charles Liang,1600000000,1712000000
173.0,Benoit Dageville,1600000000,1712000000
174.0,Doris Fisher,1500000000,1605000000
175.0,Steven Tisch,1500000000,1605000000
176.0,Peter Guber,1500000000,1605000000
177.0,Ben Silbermann,1500000000,1605000000
178.0,Nikil Viswanathan,1500000000,1605000000
179.0,Joe Lau,1500000000,1605000000
180.0,Mike Speiser,1500000000,1605000000
181.0,Sundar Pichai,1500000000,1605000000
182.0,Michael Teel,1500000000,1605000000
183.0,Magic Johnson,1400000000,1498000000
184.0,George Marcus,1400000000,1498000000
185.0,Mark Pincus,1400000000,1498000000
186.0,Lucy Guo,1400000000,1498000000
187.0,Brett Adcock,1400000000,1498000000
188.0,Nikesh Arora,1400000000,1498000000
189.0,Thierry Cruanes,1300000000,1391000000
190.0,Sanjay Gajendra,1300000000,1391000000
191.0,Jitendra Mohan,1300000000,1391000000
192.0,Frederic Luddy,1300000000,1391000000
193.0,Marissa Mayer,1300000000,1391000000
194.0,Richard Kayne,1300000000,1391000000
195.0,JoeBen Bevirt,1300000000,1391000000
196.0,Shyam Sankar,1300000000,1391000000
197.0,LeBron James,1300000000,1391000000
198.0,Aman Sanger,1300000000,1391000000
199.0,Michael Truell,1300000000,1391000000
200.0,Steve Huffman,1200000000,1284000000
201.0,Stanley Tang,1200000000,1284000000
202.0,Donald Friese,1200000000,1284000000
203.0,Jean-Marc Chapus,1200000000,1284000000
204.0,Arnold Schwarzenegger,1100000000,1177000000
205.0,Theresia Gouw,1100000000,1177000000
206.0,Chi Fung Cheng,1100000000,1177000000
207.0,Jeff Lawson,1100000000,1177000000
208.0,Joe Kiani,1100000000,1177000000
209.0,Evan Wallace,1000000000,1070000000.0000001
210.0,Tom Preston-Werner,1000000000,1070000000.0000001
211.0,Trae Stephens,1000000000,1070000000.0000001
212.0,David Sacks,2000000000,2140000000.0000002
,,sum_net_worth_usd,sum_net_worth_usd_7%_growth
,,1894800000000,2027436000000
